million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
practical,adj. 实际的；实用性的
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
besides,"prep. 除…之外
adv. 此外；而且"
gap,"n. 间隙；缺口；差距；分歧
vt. 使形成缺口
vi. 裂开"
era,n. 时代；年代；纪元
flu,n. 流感
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
cue,"n. 提示，暗示；线索
vt. 给…暗示"
task,"n. 工作，作业；任务
vt. 分派任务"
debt,n. 债务；借款；罪过
euro,n. 欧元（欧盟的统一货币单位）
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
mood,n. 情绪，语气；心境；气氛
page,"n. 页；记录；大事件，时期；男侍者
vt. 给…标页码
vi. 翻书页，浏览"
rail,"n. 铁轨；扶手；横杆；围栏
vt. 铺铁轨；以横木围栏
vi. 抱怨；责骂"
visa,"n. 签证
vt. 签发签证"
acre,n. 土地，地产；英亩
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
loan,"n. 贷款；借款
vi. 借出
vt. 借；借给"
earth,"n. 地球；地表，陆地；土地，土壤；尘事，俗事；兽穴
vt. 把（电线） 接地；盖（土）；追赶入洞穴
vi. 躲进地洞"
crime,"n. 罪行，犯罪；罪恶；犯罪活动
vt. 控告……违反纪律"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
topic,n. 主题（等于theme）；题目；一般规则；总论
actor,n. 男演员；行动者；作用物
buyer,n. 买主；采购员
saving,"n. 节约；挽救；存款
prep. 考虑到；除...之外
adj. 节约的；挽救的；补偿的；保留的"
soccer,n. 英式足球，足球
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
device,n. 装置；策略；图案
injury,n. 伤害，损害；受伤处
rating,"n. 等级；等级评定；额定功率
v. 对…评价（rate的ing形式）"
sector,"n. 部门；扇形，扇区；象限仪；函数尺
vt. 把…分成扇形"
insect,n. 昆虫；卑鄙的人
speech,n. 演讲；讲话； 语音；演说
beauty,n. 美；美丽；美人；美好的东西
cancer, 巨蟹座
editor,n. 编者，编辑；社论撰写人；编辑装置
helmet,n. 钢盔，头盔
lining,n. 衬里；内层；衬套
salary,"n. 薪水
vt. 给...加薪；给...薪水"
factory,n. 工厂；制造厂；代理店
fishery,n. 渔业；渔场；水产业
vehicle,n.  车辆；工具；交通工具；运载工具；传播媒介；媒介物
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
outcome,n. 结果，结局；成果
poverty,n. 贫困；困难；缺少；低劣
soldier,"n. 军人； 兵蚁；懒汉；一片烤面包
vi. 当兵；磨洋工；坚持干；假称害病"
airline,"n. 航空公司；航线
adj. 航线的"
airport,n. 机场；航空站
passion,n. 激情；热情；酷爱；盛怒
visitor,n. 访问者，参观者；视察者；候鸟
athlete,n. 运动员，体育家；身强力壮的人
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
fitness,n. 健康；适当；适合性
founder,"n. 创始人；建立者；翻沙工
vt. 破坏；使摔倒；垮掉
vi. 失败；沉没；倒塌；变跛"
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
surgery,n. 外科；外科手术；手术室；诊疗室
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
uniform,"n. 制服
adj. 统一的；一致的；相同的；均衡的；始终如一的
vt. 使穿制服；使成一样"
village,n. 村庄；村民；（动物的）群落
aircraft,n. 飞机，航空器
reaction,n. 反应，感应；反动，复古；反作用
stranger,n. 陌生人；外地人；局外人
category,n. 种类，分类； 范畴
marriage,n. 结婚；婚姻生活；密切结合，合并
relation,n. 关系；叙述；故事；亲属关系
ancestor,n. 始祖，祖先；被继承人
reminder,n. 暗示；提醒的人/物；催单
coworker,n. 同事；合作者
deadline,n. 截止期限，最后期限
investor,n. 投资者
newsroom,n. 新闻编辑部；报刊阅览室
optimism,n. 乐观；乐观主义
playgoer,n. 戏迷；爱看戏的人
producer,n. 制作人，制片人；生产者；发生器
receptor,n.  受体；接受器；感觉器官
curiosity,n. 好奇，好奇心；珍品，古董，古玩
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
economist,n. 经济学者；节俭的人
lifestyle,"n. 生活方式
保健的"
publisher,n. 出版者，出版商；发行人
supporter,n. 支持者；拥护者
criticism,n. 批评；考证；苛求
addiction,n. 上瘾，沉溺；癖嗜
architect,"n. 建筑师
缔造者"
awareness,"n. 意识，认识；明白，知道
n. 人群对品牌或产品的认知"
complaint,n. 抱怨；诉苦；疾病；委屈
exception,n. 例外；异议
leadership,n. 领导能力；领导阶层
journalism,n. 新闻业，新闻工作；报章杂志
possibility,n. 可能性；可能发生的事物
imagination,n.  想象力；空想；幻想物
unemployment,n. 失业；失业率；失业人数
construction,n. 建设；建筑物；解释；造句
disadvantage,n. 缺点；不利条件；损失
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
cope,"n. 长袍
vi. 处理；对付；竞争"
lure,"n. 诱惑；饵；诱惑物
vt. 诱惑；引诱"
arise,vi. 出现；上升；起立
react,"vi. 反应；影响；反抗；起反作用
vt. 使发生相互作用；使起化学反应"
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
assess,vt. 评定；估价；对…征税
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
obtain,"vi. 获得；流行
vt. 获得"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
clothe,vt. 给…穿衣；覆盖；赋予
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
remind,vt. 提醒；使想起
enable,vt. 使能够，使成为可能；授予权利或方法
weaken,"vt. 减少；使变弱；使变淡
vi. 变弱；畏缩；变软弱"
belong,vi. 属于，应归入；居住；适宜；应被放置
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
destroy,vt. 破坏；消灭；毁坏
depress,vt. 压抑；使沮丧；使萧条
convince,vt. 说服；使确信，使信服
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
distract,vt. 转移；分心
simplify,vt. 简化；使单纯；使简易
summarize,"vt. 总结；概述
vi. 作总结；作概括"
recognise,vt. 认出；承认，认可；识别
recognize,"vt. 认出，识别；承认
vi. 确认，承认；具结"
criticise,"vt. 批评；吹毛求疵；非难
vi. 批评；吹毛求疵；非难"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
characterise,vt. 是…的特征; 以…为特征; 描述（人或物）的特性; 描绘
characterize,"vt. 描绘…的特性；具有…的特征
vi. 塑造人物"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
mere,"adj. 仅仅的；只不过的
n. 小湖；池塘"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
urgent,adj. 紧急的；急迫的
useful,adj. 有用的，有益的；有帮助的
crucial,adj. 重要的；决定性的；定局的；决断的
harmful,adj. 有害的；能造成损害的
illegal,"n. 非法移民，非法劳工
adj.  非法的；违法的；违反规则的"
massive,adj. 大量的；巨大的，厚重的；魁伟的
logical,adj. 合逻辑的，合理的；逻辑学的
chronic,adj. 慢性的；长期的；习惯性的
jobless,"adj. 失业的，无业的；（关于）失业者的
n. 失业者"
lengthy,adj. 漫长的，冗长的；啰唆的
postwar,"n. 战后时期
adj. 战后的
adv. 战后；在战后"
unlikely,"adj. 不太可能的；没希望的
adv. 未必"
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
familiar,"n. 常客；密友
adj. 熟悉的；常见的；亲近的"
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
disadvantaged,"n. 弱势团体；不利条件
adj. 贫困的；处于不利地位的；社会地位低下的
v. 使处于不利地位（disadvantage的过去式和过去分词）"
hence,adv. 因此；今后
mostly,adv. 主要地；通常；多半地
merely,adv. 仅仅，只不过；只是
poorly,"adj. 身体不舒服的；心情恶劣的
adv. 贫穷地；贫乏地；不充分地"
rarely,adv. 很少地；难得；罕有地
rapidly,adv. 迅速地；很快地；立即
roughly,adv. 粗糙地；概略地
suddenly,adv. 突然地；忽然
commonly,adv. 一般地；通常地；普通地
somewhat,"n. 几分；某物
adv. 有点；多少；几分；稍微"
carefully,adv. 小心地
currently,adv. 当前；一般地
differently,adv. 不同地；差异；各种
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
rap,"n. 轻敲
vi. 敲击；交谈
vt. 抢走；轻敲；敲击致使；使着迷"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
duty,n. 责任； 关税；职务
diet,"n. 饮食；食物；规定饮食
vt.  照规定饮食
vi. 节食"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
path,n. 道路；小路；轨道
dose,"n. 剂量；一剂，一服
vt. 给药；给…服药
vi. 服药"
belt,"n. 带；腰带；地带
vt. 用带子系住；用皮带抽打
vi. 猛击"
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应"
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
basis,n. 基础；底部；主要成分；基本原则或原理
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
error,n. 误差；错误；过失
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
crash,"n. 撞碎；坠毁；破产；轰隆声；睡觉
vi. 摔碎；坠落；发出隆隆声；(金融企业等)破产
vt. 打碎；使坠毁、撞坏；擅自闯入"
dozen,"n. 十二个，一打
adj. 一打的"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
