data,n. 数据（datum的复数）；资料
technical,adj. 工艺的，科技的；技术上的；专门的
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
competitive,adj. 竞争的；比赛的；求胜心切的
briefly,adv. 短暂地；简略地；暂时地
properly,adv. 适当地；正确地；恰当地
otherwise,"adv. 否则；另外；在其他方面
adj. 另外的；其他方面的；原本，本来
conj. 其他；如果不；然后"
meanwhile,"adv. 同时，其间
n. 其间，其时"
billion,"num. 十亿
n. 十亿；大量
adj. 十亿的"
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
bias,"n. 偏见；偏爱；斜纹；乖离率
adj. 偏斜的
vt. 使存偏见
adv. 偏斜地"
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
store,"n. 商店；储备，贮藏；仓库
vt. 贮藏，储存"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
segment,"n. 段；部分
vt. 分割
vi. 分割"
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
function,"n. 功能； 函数；职责；盛大的集会
vi. 运行；活动；行使职责"
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
campaign,"n. 运动；活动；战役
vi. 作战；参加竞选；参加活动"
estimate,"n. 估计，估价；判断，看法
vt. 估计，估量；判断，评价
vi. 估计，估价"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
novel,"adj. 新奇的；异常的
n. 小说"
worth,"n. 价值；财产
adj. 值…的"
ruling,"n. 统治，支配；裁定
adj. 统治的；主要的；支配的；流行的，普遍的"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
inevitable,adj. 必然的，不可避免的
influential,"adj. 有影响的；有势力的
n. 有影响力的人物"
associate,"n. 同事，伙伴；关联的事物
adj. 副的；联合的
vt. 联想；使联合；使发生联系
vi. 交往；结交"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
corporate,adj. 法人的；共同的，全体的；社团的；公司的；企业的
overall,"adj. 全部的；全体的；一切在内的
adv. 全部地；总的说来
n. 工装裤；罩衫"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
aim,"n. 目的；目标；对准
vt. 目的在于；引导；把…对准
vi. 打算；对准目标；瞄准"
spot,"n. 地点；斑点
adj. 现场的；现货买卖的
vt. 认出；弄脏；用灯光照射
vi. 沾上污渍；满是斑点
adv. 准确地；恰好"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
root,"n. 根；根源；词根；祖先
vt. 生根，固定；根源在于
vi. 生根；根除"
vote,"n. 投票，选举；选票；得票数
vi. 选举，投票
vt. 提议，使投票；投票决定；公认"
boom,"n. 繁荣；吊杆；隆隆声
vt. 使兴旺；发隆隆声
vi. 急速发展；发隆隆声"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
stock,"n. 股份，股票；库存；血统；树干；家畜
adj. 存货的，常备的；平凡的
vt. 进货；备有；装把手于…
vi. 囤积；办货；出新芽"
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
award,"n. 奖品；判决
vt. 授予；判定"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
design,"n. 设计；图案
vt. 设计；计划；构思
vi. 设计"
survey,"n. 调查；测量；审视；纵览
vt. 调查；勘测；俯瞰
vi. 测量土地"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
signal,"n. 信号；暗号；导火线
adj. 显著的；作为信号的
vt. 标志；用信号通知；表示
vi. 发信号"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
target,"n. 目标；靶子
vt. 把……作为目标；规定……的指标；瞄准某物"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
address,"n. 地址；演讲；致辞；说话的技巧；称呼
vt. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
promise,"n. 许诺，允诺；希望
vt. 允诺，许诺；给人以…的指望或希望
vi. 许诺；有指望，有前途"
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
release,"n. 释放；发布；让与
vt. 释放；发射；让与；允许发表"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
favour,"n. 偏爱；赞同；善行
vt. 赞成；喜爱；有助于"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
railroad,"n. 铁路；铁路公司
vt. 由铁道运输；铺设铁路；以捏造不实之罪使入狱
vi. 在铁路工作；乘火车旅行；筑铁路"
struggle,"n. 努力，奋斗；竞争
vt. 使劲移动；尽力使得
vi. 奋斗，努力；挣扎"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
experiment,"n. 实验，试验；尝试
vi. 尝试；进行实验"
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
giant,"n. 巨人；伟人； 巨大的动物
adj. 巨大的；巨人般的"
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的"
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
specific,"n. 特性；细节；特效药
adj. 特殊的，特定的；明确的；详细的； 具有特效的"
chemical,"n. 化学制品，化学药品
adj. 化学的"
executive,"n. 总经理；执行委员会；执行者；经理主管人员
adj. 行政的；经营的；执行的，经营管理的"
potential,"n. 潜能；可能性； 电势
adj. 潜在的；可能的；势的"
commercial,"n. 商业广告
adj. 商业的；营利的；靠广告收入的"
conservative,
equal,"n. 对手；匹敌；同辈；相等的事物
adj. 平等的；相等的；胜任的
vt. 等于；比得上"
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
lie,"vi. 躺；说谎；位于；展现
vt. 谎骗
n. 谎言；位置"
save,"prep. 除...之外
n. 救援
vi. 节省；挽救
vt. 节省；保存；储蓄；解救"
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
liberal,"adj. 自由主义的；慷慨的；不拘泥的；宽大的
n. 自由主义者"
besides,"prep. 除…之外
adv. 此外；而且"
era,n. 时代；年代；纪元
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
cow,"n. 奶牛，母牛；母兽
vt. 威胁，恐吓"
page,"n. 页；记录；大事件，时期；男侍者
vt. 给…标页码
vi. 翻书页，浏览"
gene,n.  基因，遗传因子
cent,n. 分；一分的硬币；森特（等于半音程的百分之一）
band,"n. 带，环； 波段；(演奏流行音乐的) 乐队
n. n.乐队；队；一群
vi. 用带绑扎；给...镶边"
task,"n. 工作，作业；任务
vt. 分派任务"
gate,"n. 大门；出入口；门道
vt. 给…装大门"
mood,n. 情绪，语气；心境；气氛
wing,"n. 翼；翅膀；飞翔；派别；侧厅，耳房，厢房
vt. 使飞；飞过；空运；增加…速度；装以翼
vi. 飞行"
owner,n.  所有者；物主
buyer,n. 买主；采购员
topic,n. 主题（等于theme）；题目；一般规则；总论
