pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
phony,"n. 假冒者；赝品
adj. 假的，欺骗的"
Socratic,"n. （古希腊哲学家）苏格拉底的信徒
adj. （古希腊哲学家）苏格拉底的；问答法的"
illustrious,adj. 著名的，杰出的；辉煌的
pathological,adj. 病理学的；病态的；由疾病引起的（等于pathologic）
wager,"n. 赌注；赌博；赌物
vi. 打赌
vt. 下赌注"
playgoer,n. 戏迷；爱看戏的人
baseline,n. 基线；底线
longline,n. 多钩长线
windfall,n. 意外之财；被风吹落的果子；意外的收获
townsfolk,n. 市民；镇民
sightseer,n. 观光者；游客
flagstone,n. 石板； 薄层砂岩
graveyard,n. 墓地
nightfall,n. 黄昏；傍晚；日暮
playgoing,n. 看戏
riverboat,n. 江轮；内河船只
catch-size,
birthplace,"n. 出生地
发源地"
noise-making,制造噪音的
sight-seeing,"n. 观光；消遣
adj. 观光的"
standing-room,站席
low-cost,adj. 廉价的；价格便宜的
fast-food,"adj. 供应速食的
n. 快餐"
toll-free,adj. 不用付电话费的
ill-managed, 管理不利
long-fished,
native-born,adj. 土生土长的；土著的
slow-growing,"un. 生长迟缓的
 生长缓慢；缓慢生长"
fast-growing,adj. 快速生长的；快速扩张的
foreign-born,adj. 在国外出生的
Asian-American,n. 亚洲裔美国人
someday,adv. 有一天，有朝一日
user,"n. 用户
n. 使用者"
eater,n. 食者
analyst,n. 分析者；精神分析医师；分解者
gambler,n. 赌徒；投机商人
auditor,n. 审计员；听者；旁听生
sadness,n. 悲哀
sleeper,n. 卧车；卧铺；枕木；睡眠者
teaching,"n. 教学；教义
v. 教学；教导（teach的ing形式）"
promoter,n. 促进者；发起人；催化剂；促进剂；启动子
happiness,n. 幸福
treatment,n. 治疗，疗法；处理；对待
biologist,n. 生物学家
addiction,n. 上瘾，沉溺；癖嗜
superstar,n. 超级明星，巨星；超级星体
westerner,n. 西方人，欧美人；美国西部的人
clientele,n. 客户；诉讼委托人
deference,n. 顺从；尊重
non-Asian,
patronage,n. 赞助；光顾；任免权
counseling,"n. 咨询服务
v. 建议；劝告；商讨（counsel的ing形式）"
casualness,n. 偶然；漫不经心；随便
worshipper,n. 崇拜者；礼拜者；爱慕者
immigration,n. 外来移民；移居
exploration,n. 探测；探究；踏勘
homelessness,n. 无家可归
intermarriage,n. 联姻，异族结婚；近亲结婚
non-Hispanic,
disappointment,n. 失望；沮丧
accomplishment,n. 成就；完成；技艺，技能
anti-intellectual,"n. 反知识分子者
adj. 反知识的，反对知识分子的"
fishery,n. 渔业；渔场；水产业
tourism,n. 旅游业；游览
mailing,"n. 邮寄；邮件；（苏格兰）农场租金
adj. 邮递的
v. 邮寄；给…装甲（mail的ing形式）"
emergence,n. 出现，浮现；发生；露头
failing,"prep. 如果没有…
n. 失败；缺点，过失；弱点
v. 失败；不及格（fail的ing形式）
adj. 失败的"
weakness,n. 弱点；软弱；嗜好
noisiness,n. 吵闹; 噪度
protection,n. 保护；防卫；护照
absorption,n. 吸收；全神贯注，专心致志
uniformity,n. 均匀性；一致；同样
coordination,n. 协调，调和；对等，同等
manipulation,n. 操纵；操作；处理；篡改
exploitation,n. 开发，开采；利用；广告推销；剥削
homogenization,n. 均化； 均化作用
outlive,vt. 比…活得长；比…经久；经受住；渡过…而存在
readmit,vt. 重新接纳
overfish,vt. 对（鱼、渔场）捕捞过度
patronize,vt. 以高人一等的态度对待；经常光顾，惠顾；资助；保护
homogenize,"vt. 使均匀；使类同
vi. 变均匀"
medicalize,vt. 用医学方法处理（非医学问题等）
monopolize,vt. 垄断；独占；拥有…的专卖权
reclassify,vt. 重新分类；重新安排等级
democratize,"vt. 使民主化；使大众化
vi. 民主化；大众化"
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
ironic,adj. 讽刺的；反话的
factual,adj. 事实的；真实的
amazing,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）"
endless,adj. 无止境的；连续的；环状的；漫无目的的
unclear,adj. 不清楚的；不易了解的
homeless,"adj. 无家可归的
无家可归的人
无家可归"
addicted,"v. 使…上瘾（addict的过去分词）
adj. 沉溺于某种（尤其是不良的）嗜好的；入了迷的，上了瘾的"
detached,"v. 分离
adj. 分离的，分开的；超然的"
divisive,adj. 分裂的；区分的；造成不和的
analogous,adj. 类似的； 同功的；可比拟的
exhausted,"v. 耗尽；用尽；使…精疲力尽（exhaust的过去式）
adj. 疲惫的；耗尽的"
fruitless,adj. 不成功的，徒劳的；不结果实的
bilingual,"n. 通两种语言的人
adj. 双语的"
elevating,"n. 升降机构
v. 使升高（elevate的现在分词形式）；提起
adj. 引人向上的"
worrisome,adj. 令人烦恼的，令人不安的；麻烦的
biological,adj. 生物的；生物学的
supportive,adj. 支持的；支援的；赞助的
acceptable,adj. 可接受的；合意的；可忍受的
anti-happy,
behavioral,adj. 行为的
unreliable,adj. 不可靠的；靠不住的
persistent,adj. 固执的，坚持的；持久稳固的
unpleasant,adj. 讨厌的；使人不愉快的
compulsive,adj. 强制的；强迫的
banqueting,设宴
diagnostic,"n. 诊断法；诊断结论
adj. 诊断的；特征的"
sustainable,adj. 可以忍受的；足可支撑的；养得起的；可持续的
distasteful,adj. 令人不快的；不合口味的；表示厌恶的
meaningless,adj. 无意义的；无目的的
prehistoric,adj. 史前的；陈旧的
disappointed,adj. 失望的，沮丧的；受挫折的
dissatisfied,"v. 使不满（dissatisfy的过去式和过去分词）
adj. 不满意的；不高兴的；流露不满的"
assimilative,adj. 同化的；同化力的
undistracted,adj. 不分心的，注意力集中的，心神不烦乱的
technological,adj. 技术的；工艺的
psychological,adj. 心理的；心理学的；精神上的
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
uncontrollable,adj. 无法控制的；无法管束的；难以驾驭的
mainly,adv. 主要地，大体上
quickly,adv. 迅速地；很快地
rapidly,adv. 迅速地；很快地；立即
broadly,adv. 明显地；宽广地；概括地；露骨地；粗鄙地
frankly,adv. 真诚地，坦白地
mentally,adv. 精神上，智力上；心理上
socially,adv. 在社会上；在社交方面；善于交际地
completely,adv. 完全地，彻底地；完整地
relatively,adv. 相当地；相对地，比较地
distinctly,adv. 明显地；无疑地，确实地
separately,adv. 分别地；分离地；个别地
helplessly,adv. 无助地；无能为力地
consciously,adv. 自觉地；有意识地
financially,adv. 财政上；金融上
articulately,"发音清晰地
善于表达地"
traditionally,adv. 传统上；习惯上；传说上
intentionally,adv. 故意地，有意地
approximately,adv. 大约，近似地；近于
involuntarily,adv. 无心地；不自觉地；偶然地
Hispanic,adj. 西班牙的
library,n. 图书馆，藏书室；文库
luck,"n. 运气；幸运；带来好运的东西
vi. 靠运气，走运；凑巧碰上"
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
manager,n. 经理；管理人员
surprise,"n. 惊奇，诧异；突然袭击
adj. 令人惊讶的
vt. 使惊奇；奇袭"
daughter,"n. 女儿； 子代
adj. 女儿的；子代的"
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
homework,n. 家庭作业，课外作业
discussion,n. 讨论，议论
suggestion,n. 建议；示意；微量，细微的迹象
competition,n. 竞争；比赛，竞赛
communication,n. 通讯， 通信；交流；信函
task,"n. 工作，作业；任务
vt. 分派任务"
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
mountain,n. 山；山脉
laboratory,n. 实验室，研究室
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
programming,n. 设计，规划；编制程序， 程序编制
date,"n. 日期；约会；年代；枣椰子
vt. 确定…年代；和…约会
vi. 过时；注明日期；始于（某一历史时期）"
June,n. 六月；琼（人名，来源于拉丁语，含义是“年轻气盛的六月”）
birth,n. 出生；血统，出身；起源
round,"n. 圆；循环；一回合；圆形物
prep. 附近；绕过；大约；在…周围
adj. 圆的；完全的；大概的；肥胖的
vt. 完成；围捕；绕行；弄圆
adv. 在周围；迂回地；朝反方向；挨个
vi. 进展；变圆；环行；发胖"
Sunday,n. 星期日；礼拜日
wish,"n. 希望；祝福；心愿
vt. 祝愿；渴望；向…致问候语
vi. 愿望；需要"
solve,"vt. 解决；解答；溶解
vi. 作解答"
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视"
steal,"n. 偷窃；便宜货；偷垒；断球
vt. 剽窃；偷偷地做；偷窃
vi. 窃取；偷偷地行动；偷垒"
depend,vi. 依赖，依靠；取决于；相信，信赖
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
discuss,vt. 讨论；论述，辩论
succeed,"vi. 成功；继承；继任；兴旺
vt. 继承；接替；继…之后"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
pop,abbr. 卖点广告（Point of Purchase）
wide,"n. 大千世界
adj. 广泛的；宽的，广阔的；张大的；远离目标的
adv. 广泛地；广阔地；充分地"
fair,"n. 展览会；市集；美人
adj. 公平的；美丽的，白皙的； 晴朗的
vi. 转晴
adv. 公平地；直接地；清楚地"
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
safe,"n. 保险箱；冷藏室；纱橱
adj. 安全的；可靠的；平安的"
smart,adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的
video,"n.  视频；录像，录像机；电视
adj. 视频的；录像的；电视的
v. 录制"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
Indian,"n. 印度人；印第安人；印第安语
adj. 印度的；印第安人的；印第安语的"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
strange,"adj. 奇怪的；陌生的；外行的
adv. 奇怪地；陌生地，冷淡地"
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
excellent,adj. 卓越的；极好的；杰出的
nearly,adv. 差不多，几乎；密切地
everywhere,"n. 每个地方
adv. 到处"
whatever,"conj. 无论什么
adj. 不管什么样的
pron. 无论什么；诸如此类"
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
several,"adj. 几个的；各自的
pron. 几个；数个"
hundred,"num. 百；百个
n. 一百；许多
adj. 一百的；许多的"
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
trade,"n. 贸易，交易；行业；职业
vt. 用…进行交换
vi. 交易，买卖；以物易物"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
born,"v. 出世（bear的过去分词）
adj. 天生的"
spy,"n. 间谍；密探
vt. 侦察；发现；暗中监视
vi. 侦察；当间谍"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
theft,n. 盗窃；偷；赃物
belief,n. 相信，信赖；信仰；教义
church,"n. 教堂；礼拜；教派
adj. 教会的；礼拜的
vt. 领…到教堂接受宗教仪式"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
origin,n. 起源；原点；出身；开端
victim,n. 受害人；牺牲品；牺牲者
talent,n. 才能；天才；天资
content,"n. 内容，目录；满足；容量
adj. 满意的
vt. 使满足"
citizen,n. 公民；市民；老百姓
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
surgery,n. 外科；外科手术；手术室；诊疗室
leisure,"n. 闲暇；空闲；安逸
adj. 空闲的；有闲的；业余的"
graduate,"n. 研究生；毕业生
adj. 毕业的；研究生的
vt. 授予…学位；分等级；标上刻度
vi. 毕业；渐变"
teenager,n. 十几岁的青少年；十三岁到十九岁的少年
educator,n. 教育家；教育工作者；教师
journalist,n. 新闻工作者；报人；记日志者
responsibility,n. 责任，职责；义务
event,n. 事件，大事；项目；结果
income,n. 收入，收益；所得
crisis,"n. 危机；危险期；决定性时刻
adj. 危机的；用于处理危机的"
affair,n. 事情；事务；私事；（尤指关系不长久的）风流韵事
column,n. 纵队，列；专栏；圆柱，柱形物
oxygen,n.  氧气， 氧
format,"n. 格式；版式；开本
vt. 使格式化；规定…的格式
vi. 设计版式"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
version,n. 版本；译文；倒转术
element,n. 元素；要素；原理；成分；自然环境
airline,"n. 航空公司；航线
adj. 航线的"
property,n. 性质，性能；财产；所有权
priority,n. 优先；优先权； 优先次序；优先考虑的事
principle,n. 原理，原则；主义，道义；本质，本义；根源，源泉
technique,n. 技巧，技术；手法
component,"n. 成分；组件； 元件
adj. 组成的，构成的"
variation,n. 变化； 变异，变种
discipline,"n. 学科；纪律；训练；惩罚
vt. 训练，训导；惩戒"
tournament,n. 锦标赛，联赛；比赛
certificate,"n. 证书；执照，文凭
vt. 发给证明书；以证书形式授权给…；用证书批准"
constitution,n. 宪法；体制；章程；构造；建立，组成；体格
mass,"n. 块，团；群众，民众；大量，众多；质量
adj. 群众的，民众的；大规模的，集中的
vi. 聚集起来，聚集
vt. 使集合"
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
odds,n. 几率；胜算；不平等；差别
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
threat,n. 威胁，恐吓；凶兆
variety,n. 多样；种类；杂耍；变化，多样化
security,"n. 安全；保证；证券；抵押品
adj. 安全的；保安的；保密的"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
reaction,n. 反应，感应；反动，复古；反作用
strength,n. 力量；力气；兵力；长处
deadline,n. 截止期限，最后期限
sow,"n. 母猪
vt. 播种；散布；使密布
vi. 播种"
rely,vi. 依靠；信赖
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
