tone,"n. 语气；色调；音调；音色
vt. 增强；用某种调子说
vi. 颜色调和；呈现悦目色调"
scene,n. 场面；情景；景象；事件
energy,n.  能量；精力；活力；精神
string,n. 线，弦，细绳；一串，一行
fabric,n. 织物；布；组织；构造；建筑物
quarter,"num. 四分之一
n. 四分之一；地区；季度；一刻钟；两角五分；节
vt. 将…四等分；供某人住宿
vi. 住宿；驻扎"
distribution,n. 分布；分配
carry,"n. 运载； 进位；射程
vi. 能达到；被携带；被搬运
vt. 拿，扛；携带；支持；搬运"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
spell,"n. 符咒；一段时间；魅力
vi. 拼字；轮替
vt. 拼，拼写；意味着；招致；拼成；迷住；轮值"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
exercise,"n. 运动；练习；运用；操练；礼拜；典礼
vt. 锻炼；练习；使用；使忙碌；使惊恐
vi. 运动；练习"
fat,"n. 脂肪，肥肉
adj. 肥的，胖的；油腻的；丰满的
vt. 养肥；在…中加入脂肪
vi. 长肥"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
strictly,adv. 严格地；完全地；确实地
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
pool,"n. 联营；撞球；水塘；共同资金
vt. 合伙经营
vi. 联营，合伙经营"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
fall,"n. 下降；秋天；瀑布
adj. 秋天的
vi. 落下；变成；来临；减弱
vt. 砍倒；击倒"
cortex,n.  皮质；树皮；果皮
capuchin,（天主教的）圣方济会托钵僧；卷尾猴，僧帽猴
paralysis,n. 麻痹；无力；停顿
thermostat,"n. 恒温器；自动调温器
vt. 为…配备恒温器；用恒温器控制"
neurologist,神经学家；神经科专门医师
neural,adj. 神经的；神经系统的；背的；神经中枢的
prefrontal,"n.  额前骨
adj.  前额的；额叶前部的"
case-ending,
co-production,n. 合作生产；副产品生产
neural-repair,
self-interest,n. 私利；利己主义
decision-making,"n. 决策
adj. 决策的"
counter-culture,反文化
English-speaker,
old-fashionedness, 旧时尚
prescription-drug,"un. 处方用的药物
 处方药；处方药物；须医师处方才可买的药品"
skyrocket,"n. 流星烟火；冲天火箭
vi. 飞涨，突然高升
vt. 使…猛然上涨"
man-made,adj. 人造的；人工的；合成的
off-line,"adj. 离线的； 脱机的；不连结到线上的
adv. 脱机地；脱线地；不实时地"
health-care,n. 卫生保健
multi-media, 多媒体
fast-growing,adj. 快速生长的；快速扩张的
non-standard,adj. 不标准的，不规范的（词、发音）
co-operative,adj. 合作性质的；联营的
good-natured,adj. 和蔼的；温厚的；脾气好的
group-living, 群居；群体生活；集体生活
old-fashioned,adj. 老式的；过时的；守旧的
ever-increasing,adj. 不断增长的
innermost,adj. 内心的；最里面的，最深处的；秘密的
federal-provincial,联邦和省政府的
smoker,n. 吸烟者；薰制工
modesty,n. 谦逊；质朴；稳重
adviser,n. 顾问；劝告者；指导教师（等于advisor）
doubter,n. 抱怀疑态度的人；不信宗教的人；怀疑论者
creation,n. 创造，创作；创作物，产物
receptor,n.  受体；接受器；感觉器官
fairness,n. 公平；美好；清晰；顺利性
treatment,n. 治疗，疗法；处理；对待
supporter,n. 支持者；拥护者
grievance,n. 不满，不平；委屈；冤情
awakening,"n. 觉醒；唤醒；认识
v. 唤醒；唤起（awaken的ing形式）
adj. 觉醒中的；正在产生的"
protector,n. 保护器；保护者；保护装置；防御者
terrorism,n. 恐怖主义；恐怖行动；恐怖统治
therapist,n. 临床医学家；治疗学家
assessment,n. 评定；估价
skepticism,n. 怀疑论；怀疑的态度
liveliness,n. 活泼；热烈；鲜明
unfairness,n. 不公平，不公正；不正当
admiration,n. 钦佩；赞赏；羡慕；赞美
negligence,n. 疏忽；忽视；粗心大意
resentment,n. 愤恨，怨恨
appreciation,n. 欣赏，鉴别；增值；感谢
exaggeration,n. 夸张；夸大之词；夸张的手法
manufacturer,n. 制造商； 厂商
investigation,n. 调查；调查研究
insensitivity,n. 感觉迟钝；不灵敏性；昏迷
controversialist,n. 争论者
working,"n. 工作；活动；制作；操纵
v. 工作；影响；受雇用（work的ing形式）
adj. 工作的；操作的；可行的"
imaging,"n. 成像
v. 想像（image的ing形式）；画…的像"
subtitle,"n. 副标题；说明或对白的字幕
vt. 在…上印字幕；给…加副标题"
byproduct,n. 副产品
making,"n. 发展；制造；形成
v. 制作（make的现在分词）"
smeller,n. 闻的人; 触须; 间谍; 鼻子
dependence,n. 依赖；依靠；信任；信赖
insecurity,n. 不安全；不牢靠；无把握；心神不定
uncertainty,n. 不确定，不可靠
degradation,n. 退化；降格，降级；堕落
integration,n. 集成；综合
peculiarity,n. 特性；特质；怪癖；奇特
correlation,n.  相关，关联；相互关系
duplication,n. 复制；副本；成倍
informality,n. 非正式；不拘礼节
progression,n. 前进；连续
spontaneity,n. 自发性；自然发生
disappearance,n. 消失；不见
memorize,vt. 记住，背熟；记忆
visualize,"vt. 形象，形象化；想像，设想
vi. 显现"
underrate,vt. 低估；看轻
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
lesser,"adj. 较少的；次要的；更小的
adv. 较少地；更小地；不及"
varied,"v. 改变；使多样化（vary的过去式和过去分词形式）
adj. 多变的；各式各样的；杂色的"
endless,adj. 无止境的；连续的；环状的；漫无目的的
unhappy,adj. 不快乐的；不幸福的；不适当的
oceanic,adj. 海洋的；海洋产出的；在海洋中生活的；广阔无垠的
cultural,adj. 文化的；教养的
inclined,"v. 使…倾向（incline的过去分词）
adj. 趋向于…的"
elevated,"n. 高架铁路
adj. 提高的；高尚的；严肃的；欢欣的
v. 提高；抬起；振奋；提拔（elevate的过去分词）"
emotional,adj. 情绪的；易激动的；感动人的
strategic,adj. 战略上的，战略的
upsetting,"n. 缩锻，镦锻；倾复，倒转
adj. 令人心烦意乱的，令人苦恼的"
attentive,adj. 留意的，注意的
righteous,adj. 正义的；正直的；公正的
inadequate,adj. 不充分的，不适当的
incomplete,adj. 不完全的； 不完备的
unfamiliar,adj. 不熟悉的；不常见的；没有经验的
expressive,adj. 表现的；有表现力的；表达…的
persistent,adj. 固执的，坚持的；持久稳固的
provincial,"n. 粗野的人；乡下人；外地人
adj. 省的；地方性的；偏狭的"
functional,adj. 功能的
permissive,adj. 许可的；自由的；宽容的；（两性关系）放纵的
unanswered,adj. 未答复的；无反应的
legislative,"adj. 立法的；有立法权的
n. 立法权；立法机构"
ineffective,adj. 无效的，失效的；不起作用的
antismoking,n.& adj. 反对吸烟（的） 禁止吸烟（的）
inefficient,adj. 无效率的，效率低的；无能的
regrettable,adj. 令人遗憾的；可惜的；可悲的；抱歉的
atmospheric,adj. 大气的，大气层的
incompetent,"n. 无能力者
adj. 无能力的，不胜任的；不合适的；不适当的；无力的"
entertaining,"v. 款待（entertain的ing形式）
adj. 令人愉快的"
inconclusive,adj. 不确定的；非决定性的；无结果的
insufficient,"adj. 不足的，不充足的；不胜任的；缺乏能力的
n. 不足；缺乏"
performative,"n. 述行成分，述行语
adj. 表述行为的"
unmistakable,adj. 明显的；不会弄错的
insignificant,adj. 无关紧要的
provincialist,n. 地方居民，乡下人
pharmaceutical,"n. 药物
adj. 制药（学）的"
administrative,adj. 管理的，行政的
interprovincial,adj. 省与省之间的，各省之间的，省际的
openly,adv. 公开地；公然地；坦率地
finely,adv. 非常地；细微地；美好地；雅致地
equally,adv. 同样地；相等地，平等地；公平地
closely,adv. 紧密地；接近地；严密地；亲近地
normally,adv. 正常地；通常地，一般地
markedly,adv. 明显地；显著地；引人注目地
modestly,adv. 谨慎地；适当地
generally,adv. 通常；普遍地，一般地
seriously,adv. 认真地；严重地，严肃地
strangely,adv. 奇怪地；奇妙地；不可思议地
intensely,adv. 强烈地；紧张地；热情地
relatively,adv. 相当地；相对地，比较地
abundantly,adv. 丰富地；大量地
powerfully,adv. 强大地；强烈地；非常
necessarily,adv. 必要地；必定地，必然地
predictably,adv. 可预言地
regrettably,adv. 遗憾地；抱歉地；可悲地
selectively,adv. 有选择地
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
overwhelmingly,adv. 压倒性地；不可抵抗地
environmentally,adv. 有关环境方面
awaken,"vt. 唤醒；唤起；使…意识到
vi. 觉醒；醒来；意识到"
clearly,adv. 清晰地；明显地；无疑地；明净地
unconscious,adj. 无意识的；失去知觉的；不省人事的；未发觉的
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
actor,n. 男演员；行动者；作用物
Asian,"n. 亚洲人
adj. 亚洲的；亚洲人的"
artist,n. 艺术家；美术家（尤指画家）；大师
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
director,n. 主任，主管；导演；人事助理
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
town,n. 城镇，市镇；市内商业区
wake,"n. 尾迹；守夜；守丧
vt. 叫醒；激发
vi. 醒来；唤醒；警觉"
task,"n. 工作，作业；任务
vt. 分派任务"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
meal,"n. 一餐，一顿饭；膳食
vi. 进餐"
meat,n. 肉，肉类（食用）
worth,"n. 价值；财产
adj. 值…的"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
palace,n. 宫殿；宅邸；豪华住宅
ticket,vt. 加标签于；指派；对…开出交通违规罚单
wallet,n. 钱包，皮夹
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
college,n. 大学；学院；学会
machine,"n. 机械，机器；机构；机械般工作的人
vt. 用机器制造"
project,"n. 工程；计划；事业
vt. 设计；计划；发射；放映
vi. 设计；计划；表达；投射"
theatre,n. 电影院，戏院；戏剧；阶梯式讲堂
village,n. 村庄；村民；（动物的）群落
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
row,"n. 行，排；划船；街道；吵闹
vt. 划船；使……成排
vi. 划船；争吵"
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
cent,n. 分；一分的硬币；森特（等于半音程的百分之一）
object,"n. 目标；物体；客体；宾语
vt. 提出…作为反对的理由
vi. 反对；拒绝"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
safety,n. 安全；保险；安全设备；保险装置；安打
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
difficulty,n. 困难，困境
competition,n. 竞争；比赛，竞赛
communication,n. 通讯， 通信；交流；信函
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
die,"n. 冲模，钢模；骰子
vi. 死亡；凋零；熄灭
vt. 死，死于…"
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
stay,"n. 逗留；停止；支柱
vi. 停留；坚持；暂住；停下
vt. 坚持；暂住；抑制"
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
doubt,"n. 怀疑；疑问；疑惑
v. 怀疑；不信；恐怕；拿不准"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
shall,aux. 应；会；将；必须
depend,vi. 依赖，依靠；取决于；相信，信赖
forget,"vi. 忘记
vt. 忘记；忽略"
afford,vt. 给予，提供；买得起
arrive,vi. 到达；成功；达成；出生
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
express,"n. 快车，快递，专使；捷运公司
vt. 表达；快递
adj. 明确的；迅速的；专门的"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
discover,"vi. 发现
vt. 发现；发觉"
celebrate,"vt. 庆祝；举行；赞美；祝贺；宣告
vi. 庆祝；过节；举行宗教仪式"
paid,"adj. 付清的；已付的
vt. 支付（pay的过去式和过去分词）；付清"
worst,"n. 最坏；最坏的时候
adj. 最差的，最坏的；最不利的；效能最低的
adv. 最坏地；最不利地"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
lonely,"adj. 寂寞的；偏僻的
n. 孤独者"
several,"adj. 几个的；各自的
pron. 几个；数个"
foreign,adj. 外国的；外交的；异质的；不相关的
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
